Name,Cities,Algorithm,Executer,Iterations,Timelimit,Fitness,Gap,Time
eil76,76,ga,multi,inf,30,565.1998901367188,3.63,30.00
eil76,76,ga,multi,inf,60,564.8355102539062,3.5700000000000003,60.00
eil76,76,ga,multi,500,None,696.4586791992188,27.700000000000003,0.43
eil76,76,ga,multi,1000,None,602.2460327148438,10.43,0.91
eil76,76,ga,gpu,inf,30,565.1998901367188,3.63,30.00
eil76,76,ga,gpu,inf,60,564.8355102539062,3.5700000000000003,60.00
eil76,76,ga,gpu,500,None,696.4586791992188,27.700000000000003,0.56
eil76,76,ga,gpu,1000,None,602.2460327148438,10.43,1.26
eil76,76,ga,hybrid,inf,30,565.1998901367188,3.63,30.00
eil76,76,ga,hybrid,inf,60,564.8355102539062,3.5700000000000003,60.00
eil76,76,ga,hybrid,500,None,696.4586791992188,27.700000000000003,0.63
eil76,76,ga,hybrid,1000,None,602.2460327148438,10.43,1.16
eil76,76,aco,single,inf,30,556.9925537109375,2.13,30.08
eil76,76,aco,single,inf,60,555.097900390625,1.78,60.10
eil76,76,aco,single,500,None,556.9925537109375,2.13,50.53
eil76,76,aco,single,1000,None,555.097900390625,1.78,100.73
eil76,76,aco,multi,inf,30,553.6527099609375,1.52,30.01
eil76,76,aco,multi,inf,60,553.6527099609375,1.52,60.00
eil76,76,aco,multi,500,None,556.9925537109375,2.13,4.37
eil76,76,aco,multi,1000,None,555.097900390625,1.78,8.60
eil76,76,aco,gpu,inf,30,549.0826416015625,0.6799999999999999,30.00
eil76,76,aco,gpu,inf,60,549.0826416015625,0.6799999999999999,60.00
eil76,76,aco,gpu,500,None,558.17236328125,2.34,0.76
eil76,76,aco,gpu,1000,None,554.7601928710938,1.72,1.52
eil76,76,aco,hybrid,inf,30,549.0826416015625,0.6799999999999999,30.00
eil76,76,aco,hybrid,inf,60,549.0826416015625,0.6799999999999999,60.00
eil76,76,aco,hybrid,500,None,558.17236328125,2.34,1.41
eil76,76,aco,hybrid,1000,None,554.7601928710938,1.72,2.23
eil76,76,pso,single,inf,30,584.7515258789062,7.22,30.00
eil76,76,pso,single,inf,60,584.7515258789062,7.22,60.03
eil76,76,pso,single,500,None,597.7548217773438,9.6,18.42
eil76,76,pso,single,1000,None,580.4209594726562,6.419999999999999,34.31
eil76,76,pso,multi,inf,30,584.7515258789062,7.22,30.01
eil76,76,pso,multi,inf,60,584.7515258789062,7.22,60.01
eil76,76,pso,multi,500,None,597.7548217773438,9.6,12.23
eil76,76,pso,multi,1000,None,580.4209594726562,6.419999999999999,20.75
eil76,76,pso,gpu,inf,30,584.7515258789062,7.22,30.02
eil76,76,pso,gpu,inf,60,584.7515258789062,7.22,60.01
eil76,76,pso,gpu,500,None,597.7548217773438,9.6,10.69
eil76,76,pso,gpu,1000,None,580.4209594726562,6.419999999999999,18.19
eil76,76,pso,hybrid,inf,30,584.7515258789062,7.22,30.01
eil76,76,pso,hybrid,inf,60,584.7515258789062,7.22,60.01
eil76,76,pso,hybrid,500,None,597.7548217773438,9.6,11.67
eil76,76,pso,hybrid,1000,None,580.4209594726562,6.419999999999999,20.46
